"","center","Beta","mu_ID","mu_DS","eta","N","loglik"
"1",1.947758e-07,0,0,0.25,1,192529,NA
"2",0.166666666666667,0,0,0.25,1,192529,NA
"3",0.25,0,0,0.25,1,192529,NA
"4",1,0,0,0.25,1,192529,NA
"5",192529,0,0,0.25,1,192529,NA
"6",1.947758e-07,1.37931034482759e-08,0,0.25,1,192529,NA
"7",0.166666666666667,1.37931034482759e-08,0,0.25,1,192529,NA
"8",0.25,1.37931034482759e-08,0,0.25,1,192529,NA
"9",1,1.37931034482759e-08,0,0.25,1,192529,NA
"10",192529,1.37931034482759e-08,0,0.25,1,192529,NA
"11",1.947758e-07,2.75862068965517e-08,0,0.25,1,192529,NA
"12",0.166666666666667,2.75862068965517e-08,0,0.25,1,192529,NA
"13",0.25,2.75862068965517e-08,0,0.25,1,192529,NA
"14",1,2.75862068965517e-08,0,0.25,1,192529,NA
"15",192529,2.75862068965517e-08,0,0.25,1,192529,NA
"16",1.947758e-07,4.13793103448276e-08,0,0.25,1,192529,NA
"17",0.166666666666667,4.13793103448276e-08,0,0.25,1,192529,NA
"18",0.25,4.13793103448276e-08,0,0.25,1,192529,NA
"19",1,4.13793103448276e-08,0,0.25,1,192529,NA
"20",192529,4.13793103448276e-08,0,0.25,1,192529,NA
"21",1.947758e-07,5.51724137931034e-08,0,0.25,1,192529,NA
"22",0.166666666666667,5.51724137931034e-08,0,0.25,1,192529,NA
"23",0.25,5.51724137931034e-08,0,0.25,1,192529,NA
"24",1,5.51724137931034e-08,0,0.25,1,192529,NA
"25",192529,5.51724137931034e-08,0,0.25,1,192529,NA
"26",1.947758e-07,6.89655172413793e-08,0,0.25,1,192529,NA
"27",0.166666666666667,6.89655172413793e-08,0,0.25,1,192529,NA
"28",0.25,6.89655172413793e-08,0,0.25,1,192529,NA
"29",1,6.89655172413793e-08,0,0.25,1,192529,NA
"30",192529,6.89655172413793e-08,0,0.25,1,192529,NA
