"","center","Beta","mu_ID","mu_DS","eta","N","loglik"
"1",5e-08,0,0,0.25,1,192529,NA
"2",0.0833333333333333,0,0,0.25,1,192529,NA
"3",0.25,0,0,0.25,1,192529,NA
"4",1,0,0,0.25,1,192529,NA
"5",192529,0,0,0.25,1,192529,NA
"6",5e-08,1.37931034482759e-08,0,0.25,1,192529,NA
"7",0.0833333333333333,1.37931034482759e-08,0,0.25,1,192529,NA
"8",0.25,1.37931034482759e-08,0,0.25,1,192529,NA
"9",1,1.37931034482759e-08,0,0.25,1,192529,NA
"10",192529,1.37931034482759e-08,0,0.25,1,192529,NA
"11",5e-08,2.75862068965517e-08,0,0.25,1,192529,NA
"12",0.0833333333333333,2.75862068965517e-08,0,0.25,1,192529,NA
"13",0.25,2.75862068965517e-08,0,0.25,1,192529,NA
"14",1,2.75862068965517e-08,0,0.25,1,192529,NA
"15",192529,2.75862068965517e-08,0,0.25,1,192529,NA
"16",5e-08,4.13793103448276e-08,0,0.25,1,192529,NA
"17",0.0833333333333333,4.13793103448276e-08,0,0.25,1,192529,NA
"18",0.25,4.13793103448276e-08,0,0.25,1,192529,NA
"19",1,4.13793103448276e-08,0,0.25,1,192529,NA
"20",192529,4.13793103448276e-08,0,0.25,1,192529,NA
"21",5e-08,5.51724137931034e-08,0,0.25,1,192529,NA
"22",0.0833333333333333,5.51724137931034e-08,0,0.25,1,192529,NA
"23",0.25,5.51724137931034e-08,0,0.25,1,192529,NA
"24",1,5.51724137931034e-08,0,0.25,1,192529,NA
"25",192529,5.51724137931034e-08,0,0.25,1,192529,NA
"26",5e-08,6.89655172413793e-08,0,0.25,1,192529,NA
"27",0.0833333333333333,6.89655172413793e-08,0,0.25,1,192529,NA
"28",0.25,6.89655172413793e-08,0,0.25,1,192529,NA
"29",1,6.89655172413793e-08,0,0.25,1,192529,NA
"30",192529,6.89655172413793e-08,0,0.25,1,192529,NA
"31",5e-08,8.27586206896552e-08,0,0.25,1,192529,NA
"32",0.0833333333333333,8.27586206896552e-08,0,0.25,1,192529,NA
"33",0.25,8.27586206896552e-08,0,0.25,1,192529,NA
"34",1,8.27586206896552e-08,0,0.25,1,192529,NA
"35",192529,8.27586206896552e-08,0,0.25,1,192529,NA
"36",5e-08,9.6551724137931e-08,0,0.25,1,192529,NA
"37",0.0833333333333333,9.6551724137931e-08,0,0.25,1,192529,NA
"38",0.25,9.6551724137931e-08,0,0.25,1,192529,NA
"39",1,9.6551724137931e-08,0,0.25,1,192529,NA
"40",192529,9.6551724137931e-08,0,0.25,1,192529,NA
"41",5e-08,1.10344827586207e-07,0,0.25,1,192529,NA
"42",0.0833333333333333,1.10344827586207e-07,0,0.25,1,192529,NA
"43",0.25,1.10344827586207e-07,0,0.25,1,192529,NA
"44",1,1.10344827586207e-07,0,0.25,1,192529,NA
"45",192529,1.10344827586207e-07,0,0.25,1,192529,NA
"46",5e-08,1.24137931034483e-07,0,0.25,1,192529,NA
"47",0.0833333333333333,1.24137931034483e-07,0,0.25,1,192529,NA
"48",0.25,1.24137931034483e-07,0,0.25,1,192529,NA
"49",1,1.24137931034483e-07,0,0.25,1,192529,NA
