"","center","Beta","mu_ID","mu_DS","rho","eta","N","loglik"
"1",3.9e-07,0,0,0.75,1,1,192529,-626.30314529438
"2",0.0833333333333333,0,0,0.75,1,1,192529,-626.30314529438
"3",0.75,0,0,0.75,1,1,192529,-626.30314529438
"4",1,0,0,0.75,1,1,192529,-626.30314529438
"5",1,0,0,0.75,1,1,192529,-626.30314529438
"6",192529,0,0,0.75,1,1,192529,-626.30314529438
"7",3.9e-07,3.53535353535354e-09,0,0.75,1,1,192529,-626.30314529438
"8",0.0833333333333333,3.53535353535354e-09,0,0.75,1,1,192529,-626.30314529438
"9",0.75,3.53535353535354e-09,0,0.75,1,1,192529,-626.30314529438
"10",1,3.53535353535354e-09,0,0.75,1,1,192529,-626.30314529438
"11",1,3.53535353535354e-09,0,0.75,1,1,192529,-626.30314529438
"12",192529,3.53535353535354e-09,0,0.75,1,1,192529,-626.30314529438
"13",3.9e-07,7.07070707070707e-09,0,0.75,1,1,192529,-626.30314529438
"14",0.0833333333333333,7.07070707070707e-09,0,0.75,1,1,192529,-626.30314529438
"15",0.75,7.07070707070707e-09,0,0.75,1,1,192529,-626.30314529438
"16",1,7.07070707070707e-09,0,0.75,1,1,192529,-626.30314529438
"17",1,7.07070707070707e-09,0,0.75,1,1,192529,-626.30314529438
"18",192529,7.07070707070707e-09,0,0.75,1,1,192529,-626.30314529438
"19",3.9e-07,1.06060606060606e-08,0,0.75,1,1,192529,-626.30314529438
"20",0.0833333333333333,1.06060606060606e-08,0,0.75,1,1,192529,-626.30314529438
"21",0.75,1.06060606060606e-08,0,0.75,1,1,192529,-626.30314529438
"22",1,1.06060606060606e-08,0,0.75,1,1,192529,-626.30314529438
"23",1,1.06060606060606e-08,0,0.75,1,1,192529,-626.30314529438
"24",192529,1.06060606060606e-08,0,0.75,1,1,192529,-626.30314529438
"25",3.9e-07,1.41414141414141e-08,0,0.75,1,1,192529,-626.30314529438
"26",0.0833333333333333,1.41414141414141e-08,0,0.75,1,1,192529,-626.30314529438
"27",0.75,1.41414141414141e-08,0,0.75,1,1,192529,-626.30314529438
"28",1,1.41414141414141e-08,0,0.75,1,1,192529,-626.30314529438
"29",1,1.41414141414141e-08,0,0.75,1,1,192529,-626.30314529438
"30",192529,1.41414141414141e-08,0,0.75,1,1,192529,-626.30314529438
"31",3.9e-07,1.76767676767677e-08,0,0.75,1,1,192529,-626.30314529438
"32",0.0833333333333333,1.76767676767677e-08,0,0.75,1,1,192529,-626.30314529438
"33",0.75,1.76767676767677e-08,0,0.75,1,1,192529,-626.30314529438
"34",1,1.76767676767677e-08,0,0.75,1,1,192529,-626.30314529438
"35",1,1.76767676767677e-08,0,0.75,1,1,192529,-626.30314529438
"36",192529,1.76767676767677e-08,0,0.75,1,1,192529,-626.30314529438
"37",3.9e-07,2.12121212121212e-08,0,0.75,1,1,192529,-626.30314529438
"38",0.0833333333333333,2.12121212121212e-08,0,0.75,1,1,192529,-626.30314529438
"39",0.75,2.12121212121212e-08,0,0.75,1,1,192529,-626.30314529438
"40",1,2.12121212121212e-08,0,0.75,1,1,192529,-626.30314529438
"41",1,2.12121212121212e-08,0,0.75,1,1,192529,-626.30314529438
"42",192529,2.12121212121212e-08,0,0.75,1,1,192529,-626.30314529438
"43",3.9e-07,2.47474747474747e-08,0,0.75,1,1,192529,-626.30314529438
"44",0.0833333333333333,2.47474747474747e-08,0,0.75,1,1,192529,-626.30314529438
"45",0.75,2.47474747474747e-08,0,0.75,1,1,192529,-626.30314529438
"46",1,2.47474747474747e-08,0,0.75,1,1,192529,-626.30314529438
"47",1,2.47474747474747e-08,0,0.75,1,1,192529,-626.30314529438
"48",192529,2.47474747474747e-08,0,0.75,1,1,192529,-626.30314529438
"49",3.9e-07,2.82828282828283e-08,0,0.75,1,1,192529,-626.30314529438
"50",0.0833333333333333,2.82828282828283e-08,0,0.75,1,1,192529,-626.30314529438
"51",0.75,2.82828282828283e-08,0,0.75,1,1,192529,-626.30314529438
