"month",".id","TRUE","reports","S","I","R","H"
1,"data",1,1,NA,NA,NA,NA
2,"data",2,2,NA,NA,NA,NA
3,"data",3,3,NA,NA,NA,NA
4,"data",4,4,NA,NA,NA,NA
5,"data",5,5,NA,NA,NA,NA
6,"data",6,6,NA,NA,NA,NA
7,"data",7,7,NA,NA,NA,NA
8,"data",8,8,NA,NA,NA,NA
9,"data",9,9,NA,NA,NA,NA
10,"data",10,10,NA,NA,NA,NA
11,"data",11,11,NA,NA,NA,NA
12,"data",12,12,NA,NA,NA,NA
13,"data",13,13,NA,NA,NA,NA
14,"data",14,14,NA,NA,NA,NA
15,"data",15,15,NA,NA,NA,NA
16,"data",16,16,NA,NA,NA,NA
17,"data",17,17,NA,NA,NA,NA
18,"data",18,18,NA,NA,NA,NA
19,"data",19,19,NA,NA,NA,NA
20,"data",20,20,NA,NA,NA,NA
21,"data",21,21,NA,NA,NA,NA
22,"data",22,22,NA,NA,NA,NA
23,"data",23,23,NA,NA,NA,NA
24,"data",24,24,NA,NA,NA,NA
25,"data",25,25,NA,NA,NA,NA
26,"data",26,26,NA,NA,NA,NA
27,"data",27,27,NA,NA,NA,NA
28,"data",28,28,NA,NA,NA,NA
29,"data",29,29,NA,NA,NA,NA
30,"data",30,30,NA,NA,NA,NA
31,"data",31,31,NA,NA,NA,NA
32,"data",32,32,NA,NA,NA,NA
33,"data",33,33,NA,NA,NA,NA
34,"data",34,34,NA,NA,NA,NA
35,"data",35,35,NA,NA,NA,NA
36,"data",36,36,NA,NA,NA,NA
37,"data",37,37,NA,NA,NA,NA
38,"data",38,38,NA,NA,NA,NA
39,"data",39,39,NA,NA,NA,NA
40,"data",40,40,NA,NA,NA,NA
41,"data",41,41,NA,NA,NA,NA
42,"data",42,42,NA,NA,NA,NA
43,"data",43,43,NA,NA,NA,NA
44,"data",44,44,NA,NA,NA,NA
45,"data",45,45,NA,NA,NA,NA
46,"data",46,46,NA,NA,NA,NA
47,"data",47,47,NA,NA,NA,NA
48,"data",48,48,NA,NA,NA,NA
49,"data",49,49,NA,NA,NA,NA
50,"data",50,50,NA,NA,NA,NA
51,"data",51,51,NA,NA,NA,NA
52,"data",52,52,NA,NA,NA,NA
53,"data",53,53,NA,NA,NA,NA
54,"data",54,54,NA,NA,NA,NA
55,"data",55,55,NA,NA,NA,NA
56,"data",56,56,NA,NA,NA,NA
57,"data",57,57,NA,NA,NA,NA
58,"data",58,58,NA,NA,NA,NA
59,"data",59,59,NA,NA,NA,NA
60,"data",60,60,NA,NA,NA,NA
1,"1",NA,7,192322,200,7,7
1,"2",NA,7,192319,203,7,7
1,"3",NA,11,192320,198,11,11
2,"1",NA,13,192317,193,19,13
2,"2",NA,5,192308,209,12,5
2,"3",NA,8,192316,196,17,8
3,"1",NA,8,192314,191,24,8
3,"2",NA,11,192304,205,20,11
3,"3",NA,5,192312,200,17,5
4,"1",NA,7,192310,192,27,7
4,"2",NA,8,192298,205,26,8
4,"3",NA,11,192309,194,26,11
5,"1",NA,11,192308,190,31,11
5,"2",NA,6,192296,207,26,6
5,"3",NA,9,192303,194,32,9
6,"1",NA,13,192306,184,39,13
6,"2",NA,11,192292,202,35,11
6,"3",NA,10,192300,188,41,10
7,"1",NA,6,192298,194,37,6
7,"2",NA,7,192292,201,36,7
7,"3",NA,5,192301,189,39,5
8,"1",NA,6,192289,199,41,6
8,"2",NA,5,192293,202,34,5
8,"3",NA,5,192300,190,39,5
9,"1",NA,11,192290,194,45,11
9,"2",NA,11,192286,200,43,11
9,"3",NA,8,192301,193,35,8
10,"1",NA,8,192294,191,44,8
10,"2",NA,9,192284,204,41,9
10,"3",NA,7,192297,196,36,7
11,"1",NA,7,192293,193,43,7
11,"2",NA,4,192291,204,34,4
11,"3",NA,6,192298,196,35,6
12,"1",NA,9,192293,190,46,9
12,"2",NA,9,192287,204,38,9
12,"3",NA,9,192298,194,37,9
13,"1",NA,8,192293,187,49,8
13,"2",NA,10,192290,200,39,10
13,"3",NA,13,192296,191,42,13
14,"1",NA,7,192291,191,47,7
14,"2",NA,7,192283,205,41,7
14,"3",NA,6,192299,191,39,6
15,"1",NA,5,192291,194,44,5
15,"2",NA,13,192290,193,46,13
15,"3",NA,9,192302,189,38,9
16,"1",NA,7,192290,193,46,7
16,"2",NA,9,192293,188,48,9
16,"3",NA,11,192300,186,43,11
17,"1",NA,10,192290,193,46,10
17,"2",NA,10,192294,187,48,10
17,"3",NA,11,192298,185,46,11
18,"1",NA,6,192291,195,43,6
18,"2",NA,10,192297,183,49,10
18,"3",NA,9,192300,181,48,9
19,"1",NA,7,192288,198,43,7
19,"2",NA,7,192296,186,47,7
19,"3",NA,11,192305,171,53,11
20,"1",NA,8,192285,199,45,8
20,"2",NA,9,192296,184,49,9
20,"3",NA,4,192304,178,47,4
21,"1",NA,15,192287,190,52,15
21,"2",NA,7,192300,180,49,7
21,"3",NA,4,192304,179,46,4
22,"1",NA,7,192287,189,53,7
22,"2",NA,4,192302,179,48,4
22,"3",NA,5,192310,179,40,5
23,"1",NA,9,192284,190,55,9
23,"2",NA,6,192304,177,48,6
23,"3",NA,4,192309,182,38,4
24,"1",NA,11,192285,185,59,11
24,"2",NA,7,192306,177,46,7
24,"3",NA,7,192309,181,39,7
25,"1",NA,12,192295,174,60,12
25,"2",NA,6,192311,177,41,6
25,"3",NA,3,192313,182,34,3
26,"1",NA,4,192303,175,51,4
26,"2",NA,7,192314,178,37,7
26,"3",NA,8,192313,178,38,8
27,"1",NA,5,192316,172,41,5
27,"2",NA,7,192312,179,38,7
27,"3",NA,10,192316,174,39,10
28,"1",NA,6,192317,172,40,6
28,"2",NA,6,192312,182,35,6
28,"3",NA,4,192308,181,40,4
29,"1",NA,7,192312,172,45,7
29,"2",NA,7,192316,181,32,7
29,"3",NA,5,192306,185,38,5
30,"1",NA,8,192314,167,48,8
30,"2",NA,12,192317,175,37,12
30,"3",NA,8,192301,189,39,8
31,"1",NA,4,192316,168,45,4
31,"2",NA,5,192321,175,33,5
31,"3",NA,7,192303,188,38,7
32,"1",NA,11,192315,163,51,11
32,"2",NA,8,192318,178,33,8
32,"3",NA,6,192298,191,40,6
33,"1",NA,3,192319,164,46,3
33,"2",NA,5,192318,178,33,5
33,"3",NA,13,192294,187,48,13
34,"1",NA,4,192327,161,41,4
34,"2",NA,4,192314,186,29,4
34,"3",NA,7,192298,187,44,7
35,"1",NA,4,192329,159,41,4
35,"2",NA,9,192309,187,33,9
35,"3",NA,9,192303,182,44,9
36,"1",NA,4,192331,161,37,4
36,"2",NA,11,192303,185,41,11
36,"3",NA,3,192300,188,41,3
37,"1",NA,10,192329,158,42,10
37,"2",NA,9,192310,178,41,9
37,"3",NA,6,192297,192,40,6
38,"1",NA,6,192324,161,44,6
38,"2",NA,11,192316,172,41,11
38,"3",NA,7,192297,192,40,7
39,"1",NA,17,192327,151,51,17
39,"2",NA,8,192319,167,43,8
39,"3",NA,4,192298,193,38,4
40,"1",NA,7,192326,152,51,7
40,"2",NA,10,192322,161,46,10
40,"3",NA,9,192302,190,37,9
41,"1",NA,10,192330,149,50,10
41,"2",NA,7,192328,157,44,7
41,"3",NA,9,192302,193,34,9
42,"1",NA,7,192333,148,48,7
42,"2",NA,5,192329,157,43,5
42,"3",NA,6,192304,194,31,6
43,"1",NA,8,192337,143,49,8
43,"2",NA,11,192332,151,46,11
43,"3",NA,10,192296,193,40,10
44,"1",NA,10,192341,138,50,10
44,"2",NA,7,192333,152,44,7
44,"3",NA,6,192299,191,39,6
45,"1",NA,4,192339,140,50,4
45,"2",NA,6,192340,146,43,6
45,"3",NA,9,192296,194,39,9
46,"1",NA,7,192346,137,46,7
46,"2",NA,7,192343,148,38,7
46,"3",NA,10,192300,188,41,10
47,"1",NA,4,192347,142,40,4
47,"2",NA,11,192342,143,44,11
47,"3",NA,8,192302,186,41,8
48,"1",NA,8,192353,136,40,8
48,"2",NA,4,192341,146,42,4
48,"3",NA,6,192300,184,45,6
49,"1",NA,4,192363,134,32,4
49,"2",NA,5,192339,146,44,5
49,"3",NA,6,192302,182,45,6
50,"1",NA,4,192356,138,35,4
50,"2",NA,6,192344,142,43,6
50,"3",NA,7,192303,180,46,7
51,"1",NA,6,192351,142,36,6
51,"2",NA,6,192344,142,43,6
51,"3",NA,1,192302,186,41,1
52,"1",NA,7,192347,142,40,7
52,"2",NA,3,192347,144,38,3
52,"3",NA,5,192301,186,42,5
53,"1",NA,8,192349,137,43,8
53,"2",NA,4,192342,149,38,4
53,"3",NA,2,192298,193,38,2
54,"1",NA,5,192351,136,42,5
54,"2",NA,4,192341,150,38,4
54,"3",NA,11,192300,188,41,11
55,"1",NA,5,192348,139,42,5
55,"2",NA,3,192344,154,31,3
55,"3",NA,5,192300,189,40,5
56,"1",NA,5,192348,141,40,5
56,"2",NA,3,192340,158,31,3
56,"3",NA,11,192301,182,46,11
57,"1",NA,6,192353,138,38,6
57,"2",NA,9,192343,150,36,9
57,"3",NA,7,192304,180,45,7
58,"1",NA,5,192354,136,39,5
58,"2",NA,7,192342,150,37,7
58,"3",NA,6,192303,182,44,6
59,"1",NA,1,192355,145,29,1
59,"2",NA,5,192343,145,41,5
59,"3",NA,15,192302,174,53,15
60,"1",NA,8,192356,140,33,8
60,"2",NA,6,192342,148,39,6
60,"3",NA,8,192303,174,52,8
